	Month	Which	Gr	Nutr	Exp/Ref	Method	Ribose-P	OMP	"1,3-diphopshateglycerate"	3-hydroxy-3-methylglutaryl-CoA	3-phosphoglycerate	6-phospho-D-gluconate	acetyl-CoA	aconitate	adenosine	ADP	a-ketoglutarate	alanine	AMP	arginine	asparagine	aspartate	ATP	choline	citrate	citrate/isocitrate	citrulline	CTP	cyclic-AMP	cystathionine	cytidine	cytosine	dATP	dCTP	deoxyadenosine	deoxyguanosine	D-erythrose-4-phosphate	D-gluconate	D-glucono-delta-lactone-6-phosphate	D-glyceraldehdye-3-phosphate	dihydroorotate	dihydroxy-acetone-phosphate	D-sedoheptulose-7-phosphate	dTTP	FAD	FMN	"fructose-1,6-bisphosphate"	fumarate	glutamate	glutamine	glutathione	glutathione disulfide	glycerate	glycine	GMP	GTP	guanine	guanosine	hexose-phosphate	histidine	histidinol	hypoxanthine	inosine	isocitrate	leucine/isoleucine	lysine	malate	methionine	N-acetyl-glucosamine-1-phosphate	N-acetyl-glutamine	NAD+	NADH	NADP+	N-carbamoyl-L-aspartate	nicotinate	ornithine	orotate	pantothenate	phenylalanine	phenylpyruvate	proline	pyridoxine	pyruvate	quinolinate	riboflavin	S-adenosyl-L-methionine	serine	succinate	thiamine	threonine	"trans, trans-farnesyl diphosphate"	trehalose/sucrose	trehalose-6-phosphate	tryptophan	tyrosine	UDP-D-glucose	UDP-N-acetyl-glucosamine	uridine	UTP	valine	xanthine	Arginino-succinate	Carbamyl phosphate	CDP	dGDP	Dimethylglycine	Homoserine	Hydroxyphenylpyruvate	Lactate	N-acetyl-glutamate	Prephenic acid	PRPP
NH4_0.055_filter_b	6	b	0.055	NH4	exp	filter	34466.22251	300	2246.476669	300	31248.65471	8751.946212	7795.191726	31896.4089	1595.981024	41935.57568	753286.3016	64779.19663	9416.679487	11404.1972	300	62017.13219	97077.75973	3655.938883	1022419.156	9112053.389	2466.24367	24883.92619	2723.490577	327.1719534	300	300	3281.722726	1195.787782	470.0537171	300	4055.538607	3720.380412	741.6225018	3214.8027	11200.23391	63817.91805	87051.73765	4283.450003	595.3959451	300	111399.5068	18798.3845	896356.8212	232001.1062	58721.8243	13722.81181	368.625436	351.1556912	1148.7116	25089.39378	300	1858.909261	80040.93266	6957.472575	783.2191941	300	300	17816.81812	53186.62657	804.8264436	1002344.893	1996.168144	10500.72911	1063.681374	76479.09753	7842.892843	4750.637287	1955.735288	35984.44529	8766.27777	15604.15255	12755.12508	32629.41498	281150.212	227725.6591	44942.55854	10049.0027	1594.687862	4631.912565	1418.88975	14854.56046	357125.9403	168009.6101	63203.92699	5175.923701	728033.9786	21370.58387	5920.958357	3933.112742	566303.715	387706.969	300	85487.13588	20209.38998	300	1008.963166	300	2084.945129	7367.014801	4123.383487	300	16040.96694	10672.08759	5275.11206	300	4254.243221
NH4_0.055_filter_d	6	d	0.055	NH4	exp	filter	31293.28236	300	1709.822832	300	20160.41419	7783.735269	7030.412612	125826.8472	709.1747136	31706.28917	638475.7681	34158.48451	8068.54186	9193.298958	300	44366.38749	87280.27898	4680.480888	857073.8347	8158370.904	353.8986231	20761.29503	1598.830108	558.9647158	300	300	2831.721108	692.4379167	300	300	4742.570401	3823.228049	944.9292542	3027.439682	4245.963128	55315.84348	89209.35297	4041.667219	580.0428057	300	84474.64689	21961.41171	496993.7324	74740.13065	39971.28244	13013.38856	403.2561608	300	341.5088574	16479.81357	300	877.8359627	96832.50797	2607.237942	847.5952924	300	300	17759.311	26808.77472	835.3679333	917840.0958	1187.898797	7572.623146	1062.437517	57949.55972	11523.99585	1881.266173	651.160878	30735.72012	5295.585882	6025.596145	13300.32966	23937.30524	236459.7546	137196.2438	29161.4953	11779.62377	2187.973385	1783.596638	597.6987316	4987.306757	411830.0671	99070.95254	32555.24033	8314.293675	656776.8714	23613.36456	5646.196372	2068.085372	526623.6053	318978.9063	300	78025.62014	11840.20017	300	906.8556271	300	300	6495.401742	2267.551987	300	12097.84908	11672.00769	4086.748406	300	1661.823717
NH4_0.055_pellet_a	6	a	0.055	NH4	exp	pellet	43691.91163	300	1601.74099	300	36540.93123	4362.619734	710.3693324	78360.22256	1422.950445	6342.754524	598903.6458	48832.09153	5482.491048	6102.342544	1024.883318	53535.5083	15922.72045	7444.285452	902775.2507	7900901.081	1595.337291	2235.173468	482.1082534	341.2908368	300	483.9363444	4898.947482	300	300	300	769.9900778	2715.430818	1238.520154	3592.761005	5048.41821	37151.65171	96127.94898	558.2030966	300	300	70052.94898	16313.5272	738382.1759	161352.8887	51631.2295	18273.76151	328.1557164	300	300	3222.251308	300	1250.728569	142973.0228	3605.630155	300	300	300	19199.04936	49983.04036	317.8838821	878929.7261	1447.273556	7031.680863	929.9082472	29285.07125	686.7497926	300	3785.027398	11046.36924	3952.852301	7523.504563	9350.766481	29522.80756	30809.32979	192764.8052	30687.3511	5142.278073	3002.155031	300	300	10469.05261	218047.7527	249066.4496	40280.40726	300	420745.6501	22506.678	6862.774733	2291.085966	242146.2192	180264.7473	300	11458.05212	17539.39887	300	349.9514682	300	300	674.1112318	4346.339624	300	1201.841962	7469.718575	14081.12672	300	450.4966738
NH4_0.055_pellet_c	6	c	0.055	NH4	exp	pellet	44907.34209	300	2516.578015	300	57047.31626	5349.856756	2126.429768	29800.343	927.1343685	8423.487081	863118.2099	42713.58507	2778.058992	6320.782244	1495.732361	49736.88874	20025.02622	3292.649445	1027721.508	9366537.963	1545.810992	4197.9372	502.9575892	300	300	300	7259.673244	300	323.3658053	300	540.2752534	6115.510013	962.0660009	5612.842852	4359.268754	36662.93644	118562.2685	1088.290323	300	300	69320.00869	23614.3193	718852.0062	139153.6748	45462.29986	25511.76094	530.6349361	300	300	3717.513548	300	1886.958934	167528.5012	3577.462279	300	300	300	23457.12341	40240.04268	437.6837284	1220398.572	1917.259423	9504.454815	986.7519806	45843.96822	300	741.5694861	2002.568224	21111.4505	3403.151901	7953.429573	15877.11378	32175.52927	55485.03689	215561.4149	44247.98419	8714.085708	2864.203333	922.314466	300	7101.887268	330702.961	334855.8063	39076.86029	300	779046.3734	32584.47869	7503.508542	3684.185527	385356.4332	250957.3736	300	22379.89396	15851.79247	300	830.8239972	300	300	1464.711912	4243.278145	300	2232.844341	13864.7687	9544.457704	300	300
NH4_0.173_filter_b	6	b	0.173	NH4	exp	filter	41914.77162	300	3140.493856	678.6491456	53660.11136	13946.43349	12772.15675	43326.16066	450.4279187	36033.65211	639672.8568	89087.74845	5094.352868	37636.27275	300	96896.58166	146849.3594	541.2261414	685294.648	5641730.077	20113.42941	36524.50685	1870.413174	1422.461522	611.9118322	420.0746613	7260.756406	4541.508116	952.6340092	300	5572.164789	4722.150617	1280.44319	4613.092205	52494.32322	103060.8028	87519.83956	27779.72343	917.9063705	300	198645.4083	17051.83882	1442399.785	653363.6733	61250.27239	8999.531362	332.4491046	724.369377	762.2225272	38063.02084	300	300	130769.7438	14099.07283	1463.668228	300	300	5168.723154	114682.2468	874.5195762	749031.0584	3803.479331	4590.042056	761.6936567	74950.42056	7462.281676	3877.63279	12208.8523	40470.57441	9725.456291	30256.34503	17097.88972	57952.96486	131936.3536	157652.4216	73006.11082	10685.46512	3699.8132	5315.244384	1281.128233	41627.80322	143856.9264	67766.12489	157405.6034	17222.89684	294235.1772	14352.23599	13463.91901	4974.748376	401921.3722	376861.2489	300	136679.894	37167.83929	300	2158.543706	300	1083.051917	8197.585253	5613.106329	870.5205279	7650.672089	14081.13551	6085.414983	300	4427.360213
NH4_0.173_filter_d	6	d	0.173	NH4	exp	filter	50429.17403	300	2951.41687	341.8711201	50920.70757	12953.46273	9758.772	37129.48257	334.0948034	43118.68193	644423.8163	53289.79789	19523.22591	31672.66809	300	49973.80445	122863.7961	1978.68687	656989.7727	6370812.31	8558.303741	32111.02628	1756.012575	459.913258	671.6543049	300	5111.951701	4232.714983	1267.35502	300	8100.562078	5522.039795	1093.849734	5181.569418	54138.82132	116487.8166	88266.67555	22482.27835	2827.89235	355.3866026	190604.513	17082.49974	798580.2793	275673.0291	39255.38738	21006.54519	768.5088992	1096.830842	401.3567773	29032.25098	300	300	136288.0238	8611.359198	1716.319645	300	300	3593.067748	92875.5889	484.9422178	679796.0227	5002.819824	4375.793088	679.428592	60188.83019	19686.17091	5995.306951	11826.54882	40432.14444	10971.21397	30007.54986	17386.18941	41354.30058	107765.369	96764.00332	43859.46378	10220.6493	3824.984602	2553.195976	686.792975	16007.74666	124526.1009	36211.26155	114384.3099	19152.44251	263443.0693	14568.72448	9735.579057	2306.816448	377024.1123	392369.5668	300	113779.7703	29004.95606	300	1628.038488	300	1086.258488	10400.39728	4466.782726	1002.015697	6804.290309	11355.65334	5042.015955	300	4643.365686
NH4_0.173_pellet_a	6	a	0.173	NH4	exp	pellet	65245.17112	300	3627.552807	300	74436.2932	15010.47701	4535.3811	46186.41943	1007.328117	24932.70928	456137.5382	79191.4523	16735.32933	26492.48206	2480.186078	118111.5631	38631.13051	4268.506654	652590.968	5446360.772	14620.08861	6694.765962	300	2253.08632	453.1597187	300	5766.560873	753.6654833	866.1972415	615.080296	1806.199391	4646.500254	1122.446846	6386.759043	50109.50839	64002.82012	114758.1333	5985.727499	1100.996834	602.2475411	293812.0617	13562.7632	1617564.838	537121.9512	70455.8419	21848.58399	712.8714833	646.4378296	300	5186.615139	300	381.0327252	250988.872	16171.79005	695.8421204	300	300	4998.682633	114731.0404	970.2865601	801019.8171	6058.393872	4113.597144	888.5188061	81670.46494	585.2402687	2325.433101	20762.17924	11125.9057	8274.950179	46326.31002	10082.9312	68583.19043	11584.80612	126815.6345	35994.81549	4059.114633	5432.202645	1629.729579	300	29738.44083	111242.6766	162329.1063	117689.9422	300	175743.2578	16139.11411	10166.41895	4705.805088	395151.5117	331454.9988	300	31761.31939	38155.50448	300	2003.09612	300	300	1315.572251	6051.976448	841.2602927	300	7443.505661	8120.999865	300	370.8593984
NH4_0.173_pellet_c	6	c	0.173	NH4	exp	pellet	63494.27345	300	3492.353139	300	56563.51865	8630.655726	1766.435474	51278.65457	2286.317754	10168.73491	453787.284	59030.47193	6172.13502	27428.387	300	115121.5066	19417.19663	1082.472055	488160.9248	4442869.918	8483.693193	3547.689993	300	2999.251451	307.7293735	466.9523972	7988.99561	313.860574	1144.064083	410.3964235	425.1080752	6979.749428	2298.671394	4428.839756	33924.48711	59542.93382	88444.9044	3027.604663	300	300	149452.5899	13182.29504	1735755.234	407690.8537	21854.97928	77034.67035	700.1985878	380.8296939	300	4367.949001	300	392.8165967	196916.8477	7635.275145	879.776063	300	300	3232.913902	116785.2198	333.3258195	551302.1088	7703.23258	4682.292461	300	47434.22733	300	2099.864122	21739.05059	8026.867973	6892.337557	29926.14567	12175.64171	81302.45173	11127.33264	125967.8385	51942.80202	2085.115932	4000.926593	928.6436329	300	17490.71154	64430.27344	128399.5427	126647.1577	300	154433.5906	13820.66065	16450.37633	3492.431789	186948.5105	157320.1029	300	18048.0568	52100.61134	300	1684.869093	300	300	2085.887555	4103.362094	753.9933252	413.8601052	6490.06447	7693.949679	300	300
NH4_0.210_filter_b	6	b	0.21	NH4	exp	filter	44523.0039	300	2995.716051	393.0704949	42556.61688	10469.99272	11471.45101	39321.6368	596.2200718	39420.79811	554250.3432	169755.1226	6759.277152	95528.98591	756.065518	134498.0791	134102.4771	394.7928338	462134.3627	4176394.314	62758.23529	33195.67019	2447.544604	3381.023667	300	1076.661055	8573.210593	5539.616268	2219.796311	300	6318.625919	4125.207472	2238.754521	6041.439855	51270.55453	135933.4589	72191.54259	37416.67586	975.6222204	300	212880.4106	14994.58793	1862212.451	1407459.068	33378.82966	13118.67724	474.0171874	3164.485773	300	37308.93842	300	366.1028302	122278.5111	32485.90151	2847.332548	300	300	3565.228247	205307.0466	1658.038953	843117.0833	9826.929189	5362.631166	1069.567337	71573.78371	15866.16153	5767.433842	5894.962469	43785.78585	30831.10984	34554.79856	22218.20772	108514.2463	113336.2776	287272.0956	80436.81986	8717.333027	4473.770776	6383.601984	2197.667155	85944.39339	194724.0196	52628.65349	280132.3652	12638.18589	173398.0546	13561.33042	26109.20113	10914.97664	411632.4265	423436.2868	300	153727.8814	76061.96079	300	3812.969612	300	690.5196126	11868.48499	9403.859336	2003.462345	4892.056574	14654.10501	3821.39974	300	2648.495591
NH4_0.210_filter_d	6	d	0.21	NH4	exp	filter	46899.12944	300	2822.919979	300	40919.7735	14081.90634	9755.34668	43453.70791	544.9234605	56620.5396	463321.5116	88595.5275	20230.72424	85523.50412	300	124570.6184	121894.1528	1122.907763	492922.299	4437407.073	27925.66619	29324.63814	1488.243097	2107.803191	300	404.5112686	7810.864826	4691.997298	768.6222631	300	10231.29391	5036.174543	868.2067341	5901.883952	49767.61824	160089.3986	76122.15964	31293.18905	1168.194737	659.9961217	197653.334	15615.64109	1097326.357	802906.9767	43630.95628	14663.11867	331.5003148	751.4206759	858.3521038	30890.0701	395.2598515	300	144619.6676	24114.96791	2023.18172	300	493.392131	3546.74517	146441.5577	1351.255467	701383.3697	7643.026663	4918.462803	1780.204359	76963.55227	18298.21115	7195.815353	8509.19161	44639.20634	23236.73919	40627.29	19463.21538	83519.78562	90175.72826	175029.9116	51956.44077	9571.159422	3601.983028	2668.709972	1358.646787	25266.53305	154274.4428	36018.83479	163363.5416	6632.891609	171225.6722	12439.40335	16109.60514	4709.655099	393264.6923	422810.7679	300	123305.6867	43044.77047	300	3092.735586	300	1304.366983	11154.36444	6157.016109	790.3831834	6174.44898	13944.55926	5528.79421	300	1043.260409
