SampleName	Condition	Instrument	Set	Block	Order
C0.05_QTOF6538	c0.05	QTOF6538	1	1	1
C0.05_QTOF6550-1	c0.05	QTOF6550	1	1	1
C0.05_QTOF6550-2	c0.05	QTOF6550	2	2	2
C0.11_QTOF6538	c0.11	QTOF6538	1	1	2
C0.11_QTOF6550-1	c0.11	QTOF6550	1	1	2
C0.11_QTOF6550-2	c0.11	QTOF6550	2	4	4
C0.16_QTOF6538	c0.16	QTOF6538	1	1	3
C0.16_QTOF6550-1	c0.16	QTOF6550	1	1	3
C0.16_QTOF6550-2	c0.16	QTOF6550	2	5	5
C0.22_QTOF6538	c0.22	QTOF6538	1	1	4
C0.22_QTOF6550-1	c0.22	QTOF6550	1	1	4
C0.22_QTOF6550-2	c0.22	QTOF6550	2	1	1
C0.30_QTOF6538	c0.30	QTOF6538	1	1	5
C0.30_QTOF6550-1	c0.30	QTOF6550	1	1	5
C0.30_QTOF6550-2	c0.30	QTOF6550	2	3	3
L0.05_QTOF6538	L0.05	QTOF6538	1	2	1
L0.05_QTOF6550-1	L0.05	QTOF6550	1	2	1
L0.05_QTOF6550-2	L0.05	QTOF6550	2	5	4
L0.11_QTOF6538	L0.11	QTOF6538	1	2	2
L0.11_QTOF6550-1	L0.11	QTOF6550	1	2	2
L0.11_QTOF6550-2	L0.11	QTOF6550	2	2	1
L0.16_QTOF6538	L0.16	QTOF6538	1	2	3
L0.16_QTOF6550-1	L0.16	QTOF6550	1	2	3
L0.16_QTOF6550-2	L0.16	QTOF6550	2	3	2
L0.22_QTOF6538	L0.22	QTOF6538	1	2	4
L0.22_QTOF6550-1	L0.22	QTOF6550	1	2	4
L0.22_QTOF6550-2	L0.22	QTOF6550	2	4	3
L0.30_QTOF6538	L0.30	QTOF6538	1	2	5
L0.30_QTOF6550-1	L0.30	QTOF6550	1	2	5
L0.30_QTOF6550-2	L0.30	QTOF6550	2	1	5
N0.05_QTOF6538	n0.05	QTOF6538	1	3	1
N0.05_QTOF6550-1	n0.05	QTOF6550	1	3	1
N0.05_QTOF6550-2	n0.05	QTOF6550	2	4	5
N0.11_QTOF6538	n0.11	QTOF6538	1	3	2
N0.11_QTOF6550-1	n0.11	QTOF6550	1	3	2
N0.11_QTOF6550-2	n0.11	QTOF6550	2	1	2
N0.16_QTOF6538	n0.16	QTOF6538	1	3	3
N0.16_QTOF6550-1	n0.16	QTOF6550	1	3	3
N0.16_QTOF6550-2	n0.16	QTOF6550	2	2	3
N0.22_QTOF6538	n0.22	QTOF6538	1	3	4
N0.22_QTOF6550-1	n0.22	QTOF6550	1	3	4
N0.22_QTOF6550-2	n0.22	QTOF6550	2	3	4
N0.30_QTOF6538	n0.30	QTOF6538	1	3	5
N0.30_QTOF6550-1	n0.30	QTOF6550	1	3	5
N0.30_QTOF6550-2	n0.30	QTOF6550	2	5	1
P0.05_QTOF6538	p0.05	QTOF6538	1	4	1
P0.05_QTOF6550-1	p0.05	QTOF6550	1	4	1
P0.05_QTOF6550-2	p0.05	QTOF6550	2	3	1
P0.11_QTOF6538	p0.11	QTOF6538	1	4	2
P0.11_QTOF6550-1	p0.11	QTOF6550	1	4	2
P0.11_QTOF6550-2	p0.11	QTOF6550	2	5	3
P0.16_QTOF6538	p0.16	QTOF6538	1	4	3
P0.16_QTOF6550-1	p0.16	QTOF6550	1	4	3
P0.16_QTOF6550-2	p0.16	QTOF6550	2	1	4
P0.22_QTOF6538	p0.22	QTOF6538	1	4	4
P0.22_QTOF6550-1	p0.22	QTOF6550	1	4	4
P0.22_QTOF6550-2	p0.22	QTOF6550	2	2	5
P0.30_ORBI	p0.30	ORBI	1	1	1
P0.30_QTOF6538	p0.30	QTOF6538	1	4	5
P0.30_QTOF6550-1	p0.30	QTOF6550	1	4	5
P0.30_QTOF6550-2	p0.30	QTOF6550	2	4	2
U0.05_QTOF6538	u0.05	QTOF6538	1	5	1
U0.05_QTOF6550-1	u0.05	QTOF6550	1	5	1
U0.05_QTOF6550-2	u0.05	QTOF6550	2	1	3
U0.11_QTOF6538	u0.11	QTOF6538	1	5	2
U0.11_QTOF6550-1	u0.11	QTOF6550	1	5	2
U0.11_QTOF6550-2	u0.11	QTOF6550	2	3	5
U0.16_QTOF6538	u0.16	QTOF6538	1	5	3
U0.16_QTOF6550-1	u0.16	QTOF6550	1	5	3
U0.16_QTOF6550-2	u0.16	QTOF6550	2	4	1
U0.22_QTOF6538	u0.22	QTOF6538	1	5	4
U0.22_QTOF6550-1	u0.22	QTOF6550	1	5	4
U0.22_QTOF6550-2	u0.22	QTOF6550	2	5	2
U0.30_QTOF6538	u0.30	QTOF6538	1	5	5
U0.30_QTOF6550-1	u0.30	QTOF6550	1	5	5
U0.30_QTOF6550-2	u0.30	QTOF6550	2	2	4
